Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Arizona Diamondbacks,1043010,12877,28.9,28.5,99,100,0,1,11,"$77,691,667 ",3:15,10,2,20%,Lovullo,2021
Atlanta Braves,2299647,28746,28.2,29.5,104,103,0,3,21,"$127,230,000 ",3:08,12,2,16%,Snitker,2021
Baltimore Orioles,793229,9793,26.7,28.1,101,103,0,1,5,"$42,075,000 ",3:06,10,1,10%,Hyde,2021
Boston Red Sox,1725323,21300,28,29.7,107,108,0,5,9,"$156,095,000 ",3:17,10,6,60%,Cora,2021
Chicago Cubs,1978934,24431,29.1,29.4,99,100,0,2,11,"$144,413,500 ",3:16,18,9,50%,Ross,2021
Chicago White Sox,1596385,19708,28.1,28.3,102,101,0,4,11,"$115,546,333 ",3:09,9,7,77%,La Russa,2021
Cincinnati Reds,1505024,18581,28.9,28.9,110,111,0,2,12,"$116,784,881 ",3:14,13,10,76%,Bell,2021
Cleveland Indians,1114368,13758,26.7,26.3,100,99,0,2,5,"$50,425,500 ",3:04,11,8,72%,Francona,2021
Colorado Rockies,1938645,23934,28.1,28.3,113,114,0,1,6,"$92,675,000 ",3:12,16,9,56%,Black,2021
Detroit Tigers,1102621,13613,28.1,27.3,97,98,0,1,7,"$78,590,500 ",3:06,12,7,58%,Hinch,2021
Houston Astros,2068509,25537,28.9,28.7,101,99,0,4,13,"$190,400,000 ",3:19,12,4,33%,Baker,2021
Kansas City Royals,1159613,14316,29.3,27.9,103,105,0,2,9,"$86,820,000 ",3:08,17,6,35%,Matheny,2021
Los Angeles Angels,1515689,18484,29.1,28.6,103,103,0,3,13,"$188,408,595 ",3:12,20,6,30%,Maddon,2021
Los Angeles Dodgers,2804693,34626,29.2,28.8,103,100,0,5,22,"$248,108,334 ",3:18,22,12,54%,Roberts,2021
Miami Marlins,642617,7934,28.2,27.3,99,100,0,1,10,"$33,150,000 ",3:11,16,2,12%,Mattingly,2021
Milwaukee Brewers,1824282,22522,28.7,28.1,99,98,0,5,15,"$85,517,626 ",3:16,7,5,71%,Counsell,2021
Minnesota Twins,1310199,16175,28.3,29.8,98,98,0,2,12,"$120,158,333 ",3:10,21,9,42%,Baldelli,2021
New York Mets,1511926,18666,28.2,29.5,96,95,0,2,13,"$184,675,167 ",3:09,14,5,35%,Rojas,2021
New York Yankees,1959854,24196,29.3,29.3,100,99,0,3,17,"$209,799,047 ",3:16,10,3,30%,Boone,2021
Oakland Athletics,701430,8660,30.1,30.1,95,95,0,2,12,"$94,555,834 ",3:08,10,1,10%,Melvin,2021
Philadelphia Phillies,1515890,18715,29.1,28.8,99,99,0,2,12,"$185,286,962 ",3:17,15,5,33%,Girardi,2021
Pittsburgh Pirates,859498,10611,27.5,27.4,99,101,0,2,9,"$50,255,000 ",3:11,15,8,53%,Shelton,2021
San Diego Padres,2191950,27061,28,29.6,92,92,0,5,12,"$151,984,286 ",3:18,19,10,52%,Tingler,2021
Seattle Mariners,1215985,15012,27,28,95,95,0,1,7,"$64,605,500 ",3:12,10,4,40%,Servais,2021
San Francisco Giants,1679484,20734,30.6,29.7,98,98,0,3,14,"$150,863,778 ",3:12,19,12,63%,Kapler,2021
St. Louis Cardinals,2102530,25957,28.5,30.1,94,93,0,3,13,"$155,329,667 ",3:10,11,6,54%,Shildt,2021
Tampa Bay Rays,761072,9396,27.7,28.8,94,93,0,3,13,"$52,937,166 ",3:07,17,7,41%,Cash,2021
Texas Rangers,2110258,26053,26.8,27.8,100,102,0,3,8,"$67,890,999 ",3:05,20,9,45%,Woodward,2021
Toronto Blue Jays,805901,10074,26.8,29.1,104,103,0,4,18,"$121,694,071 ",3:04,25,9,36%,Montoyo,2021
Washington Nationals,1465543,18093,28.6,30.1,95,96,0,4,18,"$172,370,147 ",3:13,14,7,50%,Martinez,2021
